objectid,agency,comments,active,mapmethod,datecurrent,uniquefireidentifier,fireyear,incidentname,pooownerunit,perimeterdatetime,gisacres,complexname,firecode,complexparentirwinid,pooresponsibleunit,state,inciwebid,localincidentidentifier,irwinid,incomplex,complexfirecode,mergeid,latest,modifiedon,createdon,SHAPE_Length,SHAPE_Area
1,C&L,WFDSS,N,Hand Sketch,2019/02/19 00:00:00,2019-COBAX-000048,2019,C34,COBAX,2019/02/13 16:44:59,3868.87222076, ,L60J, ,COBAX,CO, ,000048,{1DFCEE5C-8BE6-43BA-B3BB-12E8AC984221},N, , ,Y,2019/02/19 09:19:59,2019/02/19 09:19:59,0.300119284356295,0.00158603291526994
2,SF,WFDSS,N,GPS-Walked/ Driven,2019/03/12 00:00:00,2019-NMN6S-000021,2019,Iron Works,NMNMS,2019/03/10 12:00:00,137.79401264, ,L653, ,NMN6S,NM, ,000021,{2F8743B9-AAA1-4024-ACED-5236B42AEB3E},N, , ,Y,2019/03/12 10:46:03,2019/03/12 10:46:03,0.0789117934072421,5.48472985143206e-05
3,BLM,WFDSS,N,Hand Sketch,2019/02/19 00:00:00,2019-AZCRD-000050,2019,Bermuda,AZYAL,2019/02/18 09:59:59,1382.4411079, ,L61H, ,AZCRD,AZ, ,000050,{B5FDC5A0-1F1A-45DB-AE7E-9FE35195894D},N, , ,N,2019/02/27 08:03:08,2019/02/19 09:19:59,0.158011725323825,0.00053885561848782
4,BLM,"Pulled from EGP REST Service; Estimated from VIIRS",N,Mixed Methods,2019/07/22 05:06:02,2019-AKUYD-000348,2019,Tractor Trail 2,AKAKS,2019/07/21 21:37:40,78995.9540083,Chalkyitsik Complex,MBZ6,{4E3207C5-B302-4ED4-9D08-2BD627FD7928},AKUYD,AK, ,000348,{88411003-AA0C-410F-8592-1FEAFFB77A55},Y, , ,N,2019/09/09 12:29:19,2019/07/22 12:31:12,3.09955344977954,0.0640475384575794
5,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/16 00:00:00,2019-ALALF-000085,2019,BK Waid,ALALF,2019/04/15 00:00:00,87.7173462, ,L7SG, ,ALALF,AL, ,000085,{B1F7417F-B25F-46DE-957B-95F53C726DAF},N, , ,Y,2019/04/18 11:12:06,2019/04/18 11:12:06,0.031190933571583,3.46858993832745e-05
6,USFS,Event Standard Perims,N,Digitized-Other,2019/06/17 00:00:00,2019-CAINF-000903,2019,JORDAN,CAINF,2019/06/15 00:00:00,544.53516353, ,L973, ,CAINF,CA,6384,000903,{92B298F6-8D26-4A12-A53B-B2BAF83A5821},N, , ,N,2019/06/17 10:44:24,2019/06/17 10:44:24,0.112025016434042,0.000220976829144886
7,USFS,MMA,N,Other,2019/06/17 00:00:00,2019-COPSF-000463,2019,Reveille,COPSF,2019/06/14 09:59:59,95.88404888, ,L9YZ, ,COPSF,CO,6381,000463,{5D06D73E-9AB9-4772-8CE9-B126C6260930},N, , ,N,2019/06/17 13:17:00,2019/06/17 10:44:24,0.0424482388884362,3.97598694443593e-05
8,USFS, ,N,Infrared Image,2019/09/10 00:00:00,2019-CASHF-001209,2019,SOUTH,CATGU,2019/09/09 21:46:00,2746.24302065, ,MRD4, ,CASHF,CA,6577,001209,{3C414AA1-6948-4BF3-B6CD-417691D8633E},N, , ,N,2019/09/10 12:03:31,2019/09/10 12:03:31,0.411565668019838,0.00117492620541022
9,USFS,Event Standard Perims,N,Mixed Methods,2019/06/17 00:00:00,2019-CAINF-000903,2019,JORDAN,CAINF,2019/06/16 23:39:00,590.64362034, ,L973, ,CAINF,CA,6384,000903,{92B298F6-8D26-4A12-A53B-B2BAF83A5821},N, , ,N,2019/06/18 10:16:14,2019/06/17 10:44:24,0.112983575012487,0.000239686556621417
10,USFS,WFDSS,N,GPS-Walked/ Driven,2019/04/08 00:00:00,2019-AROUF-000363,2019,HARPERS GROCERY,AROUF,2019/04/06 00:00:00,13.63717853, ,L7EU, ,AROUF,AR, ,000363,{4863E3D8-2481-4FBF-B584-58CEB760061C},N, , ,Y,2019/04/08 14:19:07,2019/04/08 14:19:07,0.0137292890220749,5.42782729655476e-06
